Embedding_Method,Accuracy,F1_Score
TF-IDF,0.9878206789323659,0.9877016768996226
Skip-gram,0.9787509717543404,0.9787211649205848
GloVe,0.9861363047421612,0.9850277304271292
FastText,0.9852293340243586,0.9849578854873814
